,NO2_5d_scott,NO2_5d_tucson
0,43.94927533333333,20.8833334
1,23.916666499999998,10.4333332
2,71.9083332,26.262719200000003
3,101.6856064,30.311956600000002
4,73.1295454,26.891666800000003
5,60.905303200000006,25.134091000000005
6,41.5123105,21.911594
7,20.0,13.016666599999999
8,29.172208,20.0083334
9,67.793116,24.280303000000004
10,30.0761906,16.231883999999997
11,42.7654762,
12,55.404762000000005,20.94791675
13,23.229166499999998,14.0376812
14,27.547463800000003,22.864855000000002
15,23.7422924,19.303788
16,29.758333399999998,20.5204275
17,25.290281600000004,15.522727333333334
18,58.375,22.1460144
19,,14.4171052
20,22.166667,17.2416666
21,,17.9862318
22,,23.295290200000004
23,62.097221999999995,18.433333400000002
24,,13.275
25,24.898989666666665,19.030797200000002
26,,14.4188406
27,,15.465909
28,,12.2485294
29,64.615942,17.2119048
30,15.666667000000002,10.907575600000001
31,29.06041675,16.7916666
32,,10.6719696
33,,12.9007248
34,,11.7583336
35,70.6136365,17.3113636
36,19.208333,13.625362199999998
37,28.32386375,19.366252600000003
38,,11.45
39,,10.960605999999999
40,,9.9098484
41,82.083333,12.641666599999999
42,47.6902175,14.781060399999998
43,20.412439666666668,12.3833332
44,31.043478000000004,13.283333199999998
45,,8.621739200000002
46,,10.2728262
47,67.16071433333333,22.644203
48,,9.3000002
49,26.092995000000002,15.3333334
50,25.7416668,10.9804346
51,19.6677538,9.25
52,25.603623199999998,12.792753600000001
53,56.345833400000004,21.7416666
54,,9.0816668
55,27.104166499999998,16.2373188
56,28.6530304,17.2249998
57,14.4833336,11.068333200000001
58,21.408991999999998,16.1246376
59,43.8886362,19.587681200000002
60,29.083333000000003,13.004545400000001
61,22.7375,14.958333399999997
62,,23.3586956
63,,20.3780304
64,,24.4793478
65,53.0729165,27.7416668
66,28.583333000000003,15.275000200000003
67,24.53233225,18.198965
68,35.9893938,25.7144926
69,32.7437748,25.725
70,23.546376599999995,19.7264492
71,27.5954546,24.7595238
72,21.307971000000002,15.7141306
73,20.833333250000003,13.7859026
74,21.0833334,19.556884
75,22.2272728,18.875
76,24.7300726,23.2405796
77,22.4547102,22.7513396
78,26.166667,14.716666800000002
79,23.9285715,14.3166666
80,23.3807972,14.818182
81,27.806521800000002,25.941919
82,13.858333400000001,16.267424400000003
83,23.10453725,16.75
84,15.583332999999998,10.076614000000001
85,27.703326599999997,18.527174000000002
86,23.0107706,19.20535725
87,22.6666666,
88,21.605585400000002,17.80471
89,22.74048925,17.5666664
90,19.795454499999998,8.949999799999999
91,23.102272499999998,19.375
92,,17.1257248
93,,12.741666799999999
94,,13.711363599999999
95,29.138888666666663,17.9929092
96,22.166666499999998,11.364822
97,19.2651515,14.050757800000003
98,,11.2166666
99,,17.733333199999997
100,,12.878623199999998
101,24.133838333333333,17.973913
102,17.583333,11.108333400000001
103,26.873106,15.776087
104,,11.728181799999998
105,,9.9625
106,,13.928721999999999
107,17.0,18.7293478
108,16.901515500000002,10.9726192
109,37.458333,13.891666599999999
110,,8.464130399999998
111,,6.623550799999999
112,,8.9666668
113,18.955314333333334,16.9583332
114,20.041666499999998,13.5416666
115,19.416667,10.273188399999999
116,,11.081883999999999
117,,14.713405799999999
118,16.104167,14.5416666
119,19.916667,13.7355074
120,17.1420636,10.391666599999999
121,20.465909,12.454347799999999
122,23.09375,15.2416668
123,21.5216872,11.1518116
124,17.3666666,13.243333400000001
125,,10.931884
126,23.927898399999997,14.816666799999998
127,30.077272800000003,19.967029000000004
128,31.228571600000002,19.133333200000003
129,31.438405999999997,18.7510868
130,28.102272799999998,18.75
131,10.166667,15.2249998
132,24.756249999999998,13.1083332
133,30.521428800000002,19.9898552
134,31.3520944,20.941666599999998
135,23.861363599999997,18.1416666
136,22.9219696,22.997619
137,22.708333,12.301922999999999
138,20.46430325,14.663636400000001
139,28.35,23.455302999999997
140,31.940447799999998,22.1960144
141,29.6053032,24.557246400000004
142,28.451190599999997,21.7992752
143,22.722222333333335,15.45
144,20.402778,14.322463749999997
145,31.830302800000005,23.8931162
146,33.75000000000001,29.383333400000005
147,28.0815218,30.9305555
148,25.378491600000004,22.50662875
149,16.311508000000003,15.9833336
150,14.625,9.575181
151,33.6848484,23.875
152,25.25833325,20.4474636
153,27.050000000000004,19.4583332
154,27.926679800000006,20.5219696
155,17.666667,14.85
156,28.0386905,18.4483695
157,16.6356062,13.908333199999998
158,27.007575600000003,17.3844204
159,22.7998684,16.2141306
160,23.8951756,16.9727272
161,27.166667,17.4119568
162,29.183081,16.104166499999998
163,25.8,12.675
164,,11.2045454
165,,15.503623199999998
166,28.5,15.371969799999999
167,28.411255500000003,15.640941999999999
168,29.51388866666667,14.515797000000001
169,27.166667,12.673912999999999
170,,10.725000200000002
171,,12.5710144
172,,14.931884
173,31.361111000000005,18.6083334
174,23.854166499999998,14.533333199999998
175,31.1136365,18.183333400000002
176,,12.299769399999999
177,,12.55
178,,14.850000200000002
179,32.958333333333336,18.1055666
180,17.895833500000002,11.75
181,30.25,14.5583334
182,,11.311594
183,,7.4439394
184,,11.5666666
185,30.388888999999995,18.2666666
186,8.625,10.933333199999998
187,30.51388866666667,17.5963766
188,,10.753787800000001
189,,12.4378786
190,,15.885606200000002
191,22.583333333333332,17.774999799999996
192,,12.0322464
193,24.7075756,18.1333334
194,16.6361642,10.6438406
195,25.725,18.5333334
196,23.4218096,15.111594200000003
197,21.3333336,12.883333400000001
198,,12.049637999999998
199,23.7666666,17.823912999999997
200,24.8924242,17.2940476
201,29.338636400000002,17.2829712
202,26.025,19.058333600000005
203,27.052174,20.4514492
204,33.041667,14.113405999999998
205,26.63731075,19.0083334
206,26.889492600000004,22.4833332
207,31.7172924,27.234420399999998
208,24.9083332,20.8137684
209,21.828260999999998,16.5931158
210,27.818182,16.8666668
211,27.90882025,19.373550800000004
212,25.620576,26.808333200000003
213,21.5083334,21.7583334
214,21.4097826,22.9688406
215,27.115741,20.955302999999997
216,20.646464333333338,16.6748905
217,,15.597826000000001
218,33.003787800000005,28.256818200000005
219,26.166666599999996,22.677174
220,30.616666600000002,24.758333200000003
221,34.5045454,25.435507200000007
222,18.819444333333333,14.441964500000001
223,,16.743115799999998
224,22.918629250000002,20.1003622
225,24.9772728,22.601515
226,22.225,16.733333199999997
227,18.38541675,19.12499975
228,27.142857,11.25
229,51.75,18.691666599999998
230,21.4833334,17.0886362
231,20.210714199999998,12.969927199999997
232,22.2,13.2373188
233,32.291667,10.9974638
234,26.0592885,16.0625
235,,18.1916668
236,32.625,14.1833334
237,,9.9257576
238,,12.838095199999998
239,24.958333,11.6
240,22.604167,16.8079708
241,,19.0246376
242,25.916667,18.391666800000003
243,,15.2416668
244,,15.464130399999998
245,,13.702898600000001
246,27.26026566666667,16.498912999999998
247,,14.565151600000002
248,22.708333,16.500000000000004
249,,9.948485
250,,10.840217200000001
251,,14.691666800000002
252,23.55676366666667,15.166666800000002
253,,14.358333199999999
254,21.75,17.628985399999998
255,,9.1780304
256,,9.768939399999999
257,,9.8
258,23.333333333333332,14.4757904
259,,12.386594200000001
260,13.826087,18.501449400000002
261,,17.5115942
262,,15.706060399999998
263,,16.2227272
264,22.791666666666668,17.7583332
265,,14.0757248
266,22.727273,19.3851448
267,,20.379762
268,,20.199999799999997
269,,19.6097826
270,28.597222333333335,23.925000200000003
271,,16.3869568
272,29.409091,18.4666666
273,,20.905435
274,,20.4083334
275,,20.6347826
276,26.3200755,19.2673912
277,28.695652000000006,17.0469698
278,26.347826,15.375
279,25.2000002,21.2572464
280,26.431263,20.9265152
281,27.534130800000003,27.3976192
282,20.249242199999998,20.375000200000002
283,29.208333000000003,15.4083334
284,25.909091,18.5605074
285,23.400649400000002,22.5833334
286,27.5652596,19.9
287,17.1249998,17.2871214
288,25.1730862,21.5320816
289,18.541666666666668,16.6166666
290,18.939394,11.64529
291,21.7508232,20.2112978
292,21.465,22.1825756
293,19.058333400000002,20.7666666
294,27.3181818,26.178623400000003
295,22.666666666666668,14.9583334
296,20.1577385,11.9583334
297,26.242857200000003,25.697826
298,28.438636600000002,23.038767999999997
299,19.828133,17.550362200000002
300,21.418478200000003,18.0250002
301,21.9125,15.775
302,17.885100666666666,11.808333199999998
303,27.833333000000003,19.384091200000004
304,25.541666800000005,18.9
305,19.8069266,14.2909088
306,17.896212,15.0257576
307,19.222222333333335,18.858333199999997
308,20.041667,13.636857599999999
309,27.904762,17.661363599999998
310,,13.85
311,,15.4272728
312,,10.270290200000002
313,23.888888666666663,21.8515152
314,23.145833,13.7083334
315,23.5,17.160605999999998
316,,12.2
317,,11.4083334
318,,10.4141304
319,27.027777666666665,19.6166666
320,19.166667,13.385243800000001
321,19.601010333333335,15.824999799999997
322,,10.9278986
323,,8.011956399999999
324,,9.6583334
325,29.965909,18.3539856
326,12.73913,12.0833334
327,23.67929266666667,14.4681818
328,,9.3427538
329,,8.646969600000002
330,,9.8196968
331,29.180555666666663,19.7666666
332,,13.025
333,21.864853749999998,16.8264492
334,,9.325
335,,12.603260800000001
336,,10.819697
337,25.587862,17.941666599999998
338,18.318182,11.133333400000001
339,24.71496225,16.2189394
340,22.801515200000004,13.6079712
341,8.893162333333333,12.6507248
342,,16.2416668
343,15.297415599999999,15.457608399999998
344,34.285714,11.0068182
345,23.089015,16.1496376
346,21.496428599999998,14.113636399999999
347,18.6906928,13.251190399999999
348,18.4166666,13.3844204
349,16.5846318,13.525000200000003
350,30.0,14.6688406
351,24.791666666666668,14.3083334
352,17.9749998,13.1333332
353,25.3590912,20.6340908
354,19.714285800000003,19.773188600000005
355,19.390151600000003,16.4221014
356,20.375,14.309848399999998
357,19.416666666666668,14.6674242
358,21.462560000000003,18.2315218
359,23.5189394,16.8971014
360,21.121031666666664,20.1499998
361,20.682323200000003,17.2952898
362,19.216856,14.85
363,23.6139705,12.916666600000003
364,28.785353399999998,22.575
365,26.417856999999998,18.558333400000002
366,19.424999800000002,14.6583334
367,19.279545199999998,17.1956522
368,17.51041675,15.5659418
369,10.416667,11.800724800000001
370,23.8224636,18.75
371,19.935,18.5598484
372,14.780519600000002,13.7891304
373,18.3666666,15.4666666
374,16.1190475,13.198913
375,16.86473433333333,12.4637682
376,18.3166668,12.8039856
377,17.840909200000002,14.091666399999998
378,15.757143,12.5311592
379,14.546212200000003,13.728260800000001
380,16.263889000000002,15.022826
381,11.896739,11.623485000000002
382,25.708333500000002,18.1387682
383,,11.7883334
384,,11.5583334
385,,12.503030200000001
386,16.486111333333337,14.8666668
387,16.520833500000002,11.4704546
388,21.45,18.7916668
389,,15.076087000000001
390,,16.3644926
391,,10.058333199999998
392,17.847222333333335,15.724999799999997
393,20.0,10.659057999999998
394,26.478261,17.421014399999997
395,,12.399999799999998
396,,11.841666800000002
397,,12.565909200000002
398,18.013889000000002,16.730797
399,16.318182,10.676087000000003
400,26.158333,15.975
401,,11.6583334
402,,11.631818200000001
403,,11.1676502
404,22.305555333333334,15.425
405,,10.941666399999999
406,16.16345525,13.232048800000001
407,,9.188405800000002
408,,9.7373188
409,,12.791666800000002
410,21.11553,15.7561264
411,29.238095,12.590151600000002
412,17.6413045,13.55471
413,22.931060600000002,14.908333199999998
414,21.8939394,14.8282608
415,22.325,14.634091000000002
416,22.7901516,19.1333334
417,28.421053000000004,13.867028999999999
418,25.989583250000003,15.083333199999998
419,20.967857,8.7583332
420,24.303030400000004,15.704761999999999
421,21.2061402,13.946376800000001
422,21.8363095,15.866666599999999
423,20.6041665,14.5673914
424,21.444444333333333,12.775
425,24.889394,20.3583334
426,23.803463200000003,16.1416664
427,27.2674242,18.339394000000002
428,21.131290999999997,20.341666600000003
429,16.208333,14.658333199999998
430,23.986111333333337,14.1462448
431,34.6656926,24.75
432,37.78166660000001,25.0847826
433,35.318182,20.7916666
434,30.4927866,24.960144800000002
435,22.91666675,21.468840800000002
436,19.9375,13.572727
437,30.250000000000007,19.4938406
438,26.9280304,22.3583334
439,22.8173916,18.2206522
440,29.1543476,25.741666599999995
441,27.92789525,20.1547102
442,6.25,10.6666668
443,28.866666799999997,19.6333334
444,26.611904600000003,18.9424244
445,29.6286232,22.259058
446,26.466666600000003,21.5999998
447,29.604166999999997,17.265942000000003
448,19.035818666666668,13.896969799999999
449,19.5128786,20.6822462
450,16.8750002,14.361594
451,20.2492424,15.891666800000001
452,15.640151600000001,15.981060399999999
453,29.472222000000002,19.4782608
454,12.597222,12.116666599999999
455,21.875,13.925
456,,14.2559006
457,,13.5992422
458,,15.257608600000001
459,24.659091000000004,15.288405799999998
460,6.75,12.091666800000002
461,26.5,16.959091
462,,13.9601448
463,,14.2204546
464,,11.1333336
465,22.838768,16.155072399999998
466,10.0,13.237681199999997
467,33.7140155,19.8474638
468,,15.0
469,,16.0439394
470,,12.7113636
471,20.319444333333333,16.594565199999998
472,4.55,11.3583334
473,27.479166499999998,15.764393799999999
474,,11.958695599999999
475,,12.703571400000001
476,,11.9094204
477,18.477053,13.5358452
478,,13.7412282
479,16.708333,12.4
480,,12.294697000000003
481,,9.716666799999999
482,,12.669565200000001
483,24.8200755,15.2597498
484,13.2,12.8500002
485,20.208333333333332,13.368333600000003
486,12.2507578,11.7303032
487,21.0833334,12.7826086
488,18.185606200000002,12.908333199999998
489,25.9416668,20.332576
490,11.25,11.613406000000001
491,17.972222333333335,14.3333334
492,16.4128786,13.387446
493,23.1607144,19.0130434
494,18.325438600000002,15.328679599999997
495,25.424394,17.75
496,15.5,15.162878800000001
497,20.6117425,14.723498999999999
498,29.418313599999998,20.1876812
499,24.7464286,17.0177536
500,22.7166666,15.575
501,24.0956708,17.918840600000003
502,12.208333500000002,13.5666666
503,22.311111,13.4333334
504,31.6959628,23.025
505,26.298809600000006,18.259091
506,25.797859,21.875
507,19.3333334,16.525362199999996
508,22.54166675,15.684999999999999
509,7.402778,9.459091
510,17.6416666,15.1575758
511,17.2439394,12.061363599999998
512,23.671795,16.459058
513,23.2,18.1174244
514,23.27746225,17.3833332
515,4.071429,9.9499998
516,17.846969800000004,16.191666599999998
517,18.15,14.275
518,21.3636364,15.789492599999999
519,20.851515,14.825000200000002
520,18.6666665,14.4571428
521,18.52399,12.837582399999999
522,27.707971000000004,20.086363600000002
523,19.5984848,10.55
524,13.8446968,10.428623199999999
525,18.3144926,12.265151399999999
526,17.77777766666667,14.832674399999998
527,12.529166499999999,9.5392856
528,28.899621000000003,14.775
529,,11.8025362
530,,9.978788
531,,9.652536199999998
532,20.263889,15.275
533,4.4333335,8.0242752
534,28.270833500000002,15.458333199999998
535,,7.8724638
536,,7.8688406
537,,7.7
538,24.700922000000002,14.823419000000001
539,2.0,8.625000199999999
540,20.800505,14.3097826
541,,10.5112318
542,,11.6833334
543,,11.338406000000003
544,26.335364666666663,15.6242752
545,9.125,9.7608696
546,20.888889000000002,10.8583332
547,,10.1219698
548,,7.849896600000001
549,,10.075
550,24.577777666666663,16.075
551,,8.332246399999999
552,19.1139365,15.033333600000002
553,,9.0666666
554,,9.3253622
555,,11.2181818
556,17.9311595,11.9083334
557,27.25,11.3
558,19.469512750000003,14.4333334
559,10.0123232,11.0333334
560,9.498026399999999,7.343181599999999
561,17.295454799999998,14.121212199999999
562,17.8957398,12.2199276
563,24.916667,11.5923912
564,17.86186575,13.975
565,16.0463458,16.016666800000003
566,17.4583332,15.230434800000001
567,18.070619,14.356060600000001
568,21.9338744,14.1000002
569,16.8125,11.191666399999999
570,14.616666666666665,12.340909
571,21.7838096,17.746212
572,24.653030400000002,22.680303
573,16.3330826,16.35
574,24.9560288,20.4772728
575,18.8598485,12.0833334
576,13.889492666666667,11.4583334
577,22.3172078,19.65
578,23.6827922,25.0454548
579,24.808333400000002,22.0166664
580,22.363405800000002,25.752174000000004
581,18.90511775,15.7083334
582,14.9833335,9.5173912
583,20.9245612,21.266666800000003
584,22.9242096,22.664394
585,23.0715218,22.847727400000004
586,14.5654762,16.417753599999998
587,14.401267999999998,14.766666800000001
588,9.791667,11.2
589,19.1772728,14.786904799999999
590,15.607143000000002,17.525
591,13.927536,16.3586956
592,18.843116000000002,19.2242752
593,13.220300666666667,13.356159199999999
594,16.123188,8.739262200000002
595,19.290476199999997,21.03125
596,15.310714200000001,19.0083334
597,22.708333333333332,17.9182478
598,16.8177538,11.4583334
599,17.67965375,14.2797102
600,16.727273,8.1492424
601,18.208333333333332,11.90625
602,,11.766666800000001
603,,13.4249998
604,,13.718478199999998
605,15.608586000000003,15.551449400000001
606,15.434783,8.7228258
607,18.305555333333334,12.8037878
608,,10.175000200000003
609,,7.0530304
610,,8.7739128
611,16.822463666666668,15.6666666
612,,10.375
613,20.01177525,15.7833334
614,,11.981818200000001
615,,10.675
616,,9.85471
617,20.444444666666666,13.558333199999998
618,,8.874999800000001
619,17.572916499999998,14.5876812
620,,9.6152172
621,,6.5652174
622,,6.7416666
623,21.875,15.710000200000001
624,17.0,12.181666600000002
625,17.647192,13.525
626,,5.981884
627,,8.401449199999998
628,,7.240151599999999
629,22.9,9.0969698
630,19.270833500000002,15.966666800000002
631,11.734127,7.8083332
632,9.8612836,8.1583332
633,17.503789,11.59529
634,16.5155796,8.772826
635,12.160326,10.6916666
636,20.270833500000002,16.758333399999998
637,12.113636333333332,9.1098484
638,21.241515200000002,15.7416668
639,19.0749998,13.882608600000001
640,24.042424399999998,19.684420199999998
641,23.2015152,14.958695600000002
642,22.930555666666667,19.392857
643,8.315476,6.6628788
644,18.906250250000003,19.7763504
645,23.2733954,14.733333400000001
646,22.2785716,15.240941800000002
647,15.4424242,13.366666599999999
648,23.691666666666666,19.813405799999998
649,12.541667,8.8287878
650,19.25,17.1666666
651,16.1833336,17.1348486
652,17.374242600000002,19.136956399999995
653,18.295237999999998,17.85
654,15.920454800000002,16.3259836
655,10.791667,9.183333199999998
656,22.937241,18.5166666
657,20.466666800000002,17.8416666
658,9.70202,12.6348484
659,20.520833,18.8190474
660,18.8666666,18.4778986
661,,9.0398552
662,19.040909,16.2065218
663,16.7810606,16.575000199999998
664,21.325000000000003,19.286594
665,20.1621214,18.339492399999997
666,15.236111,11.866666600000002
667,6.096014500000001,8.940546600000001
668,15.5537878,15.141666599999999
669,18.527922,17.246739400000003
670,9.225066,11.0666668
671,12.208333200000002,10.960606
672,13.31994025,13.892272599999998
673,7.625,10.4750002
674,16.81944466666667,12.666666599999997
675,,11.0199274
676,,10.8007248
677,,10.298550799999997
678,21.311507666666667,15.4166664
679,8.5,10.939393999999998
680,20.352272666666668,11.873913400000001
681,,8.4113634
682,,9.265579800000001
683,,9.359420400000001
684,17.958333666666668,13.958333199999998
685,,9.541666800000002
686,18.9375,13.148912999999999
687,,8.0257248
688,,8.7219698
689,,8.6999998
690,14.219203,13.9833332
691,,8.663834
692,17.38541675,12.1
693,,7.820652
694,,7.5016666
695,,8.0101448
696,15.0199275,10.4909092
697,15.583332999999998,9.3083334
698,15.521739,11.35
699,,9.033333199999998
700,,8.4445652
701,,7.6579712
702,20.083333,11.45
703,9.375,10.2333334
704,17.249999666666668,11.183333199999998
705,12.424967,10.755000200000001
706,9.858333199999999,8.266666599999999
707,13.9589922,10.3204546
708,19.0040044,12.903985600000002
709,17.125,10.3623518
710,18.497474333333333,11.641666800000001
711,21.4674902,14.846739199999998
712,14.9666666,9.386594200000001
713,18.287812799999998,16.7
714,15.934090799999998,13.243115799999998
715,19.627525333333335,13.7939394
716,13.083333,8.6613636
717,19.475000200000004,14.0492424
718,25.1606062,17.8844204
719,22.1969696,17.0431158
720,16.041666600000003,8.4666666
721,17.50724633333333,14.516666599999999
722,8.9076085,8.3416666
723,21.6677536,16.0188408
724,20.276514999999996,17.9507576
725,20.803787800000002,16.775
726,17.6674242,18.426515
727,14.744047599999998,13.758333400000001
728,16.791667,6.4028984
729,21.933333400000002,18.404511000000003
730,7.928571000000002,15.6833334
731,7.475,9.4855074
732,14.127380800000001,17.5336956
733,16.9758774,14.200000200000002
734,,7.5181157999999995
735,19.3371212,15.465238099999999
736,17.0840912,15.769565199999999
737,12.9583336,12.591666800000002
738,12.358333400000003,15.068182000000002
739,18.844444666666664,15.4
740,10.8333335,8.3822023
741,15.933333199999998,15.0865532
742,13.115909199999999,11.232970799999999
743,11.987121199999999,15.048550800000001
744,13.028333600000002,13.983333400000001
745,11.753127,12.8416666
746,12.25,9.3130432
747,16.253019,11.2165797
748,,11.9
749,,7.546212
750,,9.743840599999999
751,19.472222333333335,13.5920288
752,11.458333,8.124999800000001
753,17.583333,13.1373483
754,,8.4333334
755,,7.475
756,,10.4613636
757,15.527777666666665,12.341666800000002
758,,7.9945650000000015
759,17.427083500000002,11.709999999999999
760,,9.440942000000001
761,,10.497463800000002
762,,7.608333400000001
763,10.724206333333333,9.7485508
764,,9.101190400000002
765,19.407691,12.889365899999998
766,,6.4228262
767,,7.778260800000001
768,,5.2869048
769,11.75,10.141666599999999
770,8.0,9.6108696
771,19.19682,11.692282700000002
772,,6.4583332
773,,7.1804348000000005
774,,7.994203000000001
775,14.0,8.2916666
776,11.125,10.328260599999998
777,18.702569333333333,9.6537501
778,21.9912338,15.8732427
779,15.775,8.703260799999999
780,14.3863636,8.4583334
781,21.2954546,10.7800726
782,12.875,9.5325756
783,20.257936666666666,11.3992458
784,17.3779974,11.699408700000001
785,11.8651516,8.396401399999998
786,17.1666668,12.1689856
787,19.4439932,13.280909099999999
788,17.098485,11.9583334
789,17.625,8.613485
790,23.5666668,16.5570834
791,23.565151399999998,17.9525
792,18.873715600000004,13.3635097
793,21.191666599999998,17.335227300000003
794,17.097222333333335,13.515942200000001
795,20.166667,8.6758334
796,24.322368200000003,18.5701599
797,19.15,15.640199099999995
798,15.1489856,13.507175499999999
799,17.717424400000002,12.6475693
800,18.458333,19.022917000000003
